sample,outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs
2315,2.66,1.92,1.60,76.13,127.23,279.22,63218.1
2316,2.70,1.76,1.46,75.60,128.48,287.09,73831.2
2317,2.89,2.16,1.69,75.43,127.85,292.64,73959.3
2318,2.84,1.88,1.50,75.46,128.47,265.33,76973.4
2319,2.89,2.23,1.32,76.28,127.34,242.00,63456.9
2320,2.57,2.26,1.28,76.06,127.71,272.08,69684.5
2321,2.67,1.91,1.46,75.80,127.61,261.49,63826.5
2322,2.64,2.07,1.42,75.99,127.39,273.47,76003.3
2323,2.90,1.98,1.21,75.43,127.71,284.03,65016.9
2324,2.83,2.08,1.29,76.49,127.79,258.56,76422.4
2325,2.82,1.78,1.41,75.63,127.33,287.73,73167.5
2326,2.52,1.90,1.65,75.75,127.99,243.17,72615.9
2327,2.60,1.80,1.34,76.00,127.74,279.96,66013.5
2328,2.89,1.90,1.62,75.75,127.69,262.38,67281.2
2329,2.88,2.17,1.78,76.20,128.10,243.48,74616.7
2330,2.60,1.87,1.44,76.36,127.60,293.18,71235.8
2331,2.67,2.00,1.29,76.10,128.17,291.95,69389.8
2332,2.78,2.13,1.29,75.28,127.41,271.72,72321.5
2333,2.73,1.73,1.47,76.41,127.61,243.71,69614.9
2334,2.75,2.05,1.71,75.50,127.32,285.55,75262.4
2335,2.60,1.92,1.33,75.79,127.78,275.10,70079.4
2336,2.53,2.03,1.35,75.38,127.84,243.39,74178.4
2337,2.68,1.98,1.44,75.51,128.00,287.33,63284.1
2338,2.62,2.29,1.48,76.44,128.29,266.32,76657.6
2339,2.56,1.75,1.53,75.64,128.35,264.61,71260.1
2340,2.86,2.07,1.44,75.91,128.43,254.01,73387.4
2341,2.66,1.73,1.33,76.55,127.71,257.08,69110.9
2342,2.77,1.89,1.63,75.75,128.00,279.49,76106.0
2343,2.83,1.82,1.66,75.94,127.52,284.47,67471.3
2344,2.86,2.07,1.21,76.03,127.89,280.65,73312.5
2345,2.67,2.07,1.36,75.50,127.20,263.63,71497.9
2346,2.82,1.77,1.76,75.85,127.98,248.85,66061.2
2347,2.74,2.26,1.27,76.26,127.58,263.97,75741.7
2348,2.86,2.19,1.35,76.45,127.38,248.79,64743.5
2349,2.51,2.00,1.33,76.00,128.27,247.39,68581.9
2350,2.55,2.24,1.67,76.21,127.83,261.17,65946.2
2351,2.75,2.09,1.31,76.27,128.53,246.59,72591.1
2352,2.66,1.74,1.56,75.44,127.89,266.28,69973.4
2353,2.70,2.00,1.60,75.37,128.04,258.93,73569.8
2354,2.72,2.17,1.37,75.61,127.55,290.60,63107.5
2355,2.53,2.17,1.69,76.09,127.63,246.68,71214.1
2356,2.88,1.76,1.21,75.89,128.49,267.99,66646.3
2357,2.56,2.06,1.59,75.83,127.85,286.01,67794.8
2358,2.51,2.01,1.62,76.38,127.98,259.26,67685.3
2359,2.77,2.23,1.30,76.24,127.41,250.26,68790.9
2360,2.73,2.02,1.42,75.36,128.10,290.62,76911.1
2361,2.61,1.85,1.38,76.15,128.39,282.01,66681.0
2362,2.86,2.03,1.78,75.21,127.42,268.36,67189.1
2363,2.57,2.26,1.29,76.58,127.60,293.53,76999.5
2364,2.66,1.96,1.64,76.54,127.40,268.36,69099.1
2365,2.55,2.19,1.58,75.69,128.53,250.25,71424.8
2366,2.57,1.71,1.29,75.75,128.06,252.80,63116.1
2367,2.53,1.96,1.39,76.23,127.26,278.06,70516.9
2368,2.68,1.71,1.58,75.89,128.10,287.08,68621.0
2369,2.77,1.91,1.43,75.79,128.11,268.48,67191.8
2370,2.60,2.23,1.42,75.61,128.29,248.57,65198.5
2371,2.79,2.21,1.23,76.31,127.42,282.18,66940.9
2372,2.55,2.01,1.55,76.33,127.45,276.29,65683.2
2373,2.56,1.98,1.59,76.42,128.11,278.75,64493.0
2374,2.58,2.07,1.79,75.71,128.47,286.75,66389.7
2375,2.84,2.14,1.37,75.87,127.99,242.54,65439.5
2376,2.58,2.19,1.60,75.21,127.99,245.19,64942.0
2377,2.59,1.90,1.24,76.16,127.79,260.24,67931.5
2378,2.82,1.90,1.46,76.08,127.38,262.59,66190.4
2379,2.87,2.16,1.44,76.02,127.64,253.18,69141.6
2380,2.52,1.88,1.32,76.03,127.72,290.49,65948.7
2381,2.70,1.87,1.60,75.47,128.36,248.32,66643.0
2382,2.79,2.01,1.71,76.47,127.72,278.10,75260.2
2383,2.78,1.83,1.41,76.07,128.16,262.42,70722.1
2384,2.72,2.07,1.30,75.63,128.26,287.90,67138.0
2385,2.64,1.84,1.67,76.28,127.83,287.82,64972.3
2386,2.65,1.92,1.62,75.47,128.31,270.90,69572.5
2387,2.65,1.77,1.64,75.51,127.51,284.58,76984.8
2388,2.89,2.29,1.27,76.18,127.33,284.81,74019.8
2389,2.77,1.74,1.67,76.21,127.48,261.97,64517.8
2390,2.72,1.87,1.75,76.49,127.96,287.77,70445.7
2391,2.87,1.75,1.71,76.08,128.59,245.90,71270.2
2392,2.84,1.80,1.80,76.60,127.67,264.47,71792.8
2393,2.70,2.22,1.28,76.40,127.24,280.91,70630.1
2394,2.81,1.89,1.49,76.50,127.29,280.71,68592.6
2395,2.82,2.08,1.21,76.25,128.09,255.39,75664.8
2396,2.64,2.05,1.76,75.80,127.83,292.74,73611.9
2397,2.64,1.84,1.79,76.57,127.69,256.75,73959.5
2398,2.82,2.25,1.65,75.50,127.26,262.06,64366.8
2399,2.56,2.29,1.40,75.46,128.55,268.94,64116.4
2400,2.80,1.76,1.44,76.07,127.27,268.36,68486.8
2401,2.57,2.04,1.42,76.51,127.64,287.67,64627.7
2402,2.54,2.14,1.47,76.39,128.14,257.81,76130.7
2403,2.74,1.82,1.56,75.65,127.87,266.44,76310.1
2404,2.72,2.11,1.31,75.44,127.29,261.84,67989.3
2405,2.65,1.81,1.79,76.38,128.27,251.00,71240.5
2406,2.74,2.01,1.43,75.80,128.44,265.41,72899.8
2407,2.84,2.23,1.55,76.23,128.13,274.45,66669.3
2408,2.77,1.76,1.40,75.78,127.60,255.54,68465.9
2409,2.72,2.08,1.46,75.48,127.97,286.23,73358.2
2410,2.54,2.14,1.47,75.78,128.21,270.90,74078.7
2411,2.80,1.96,1.60,76.17,128.21,287.24,75474.2
2412,2.88,2.06,1.36,75.64,127.55,256.14,65713.3
2413,2.64,1.92,1.20,75.38,128.21,286.18,69892.8
2414,2.74,1.84,1.67,76.30,127.78,274.04,64961.3
2415,2.74,2.15,1.59,76.40,127.52,280.96,71794.3
2416,2.63,2.13,1.25,75.56,127.22,242.33,67250.1
2417,2.87,2.07,1.33,76.29,128.02,288.73,73020.5
2418,2.71,2.27,1.28,76.42,128.32,264.44,67460.4
2419,2.85,1.91,1.46,76.24,128.55,290.90,74088.9
2420,2.70,1.75,1.72,75.61,128.24,280.28,74243.5
2421,2.67,2.24,1.63,76.00,127.20,256.63,74769.8
2422,2.74,1.91,1.55,75.55,127.91,252.05,72410.9
2423,2.77,2.21,1.32,75.59,127.99,284.12,75859.5
2424,2.87,2.15,1.43,75.51,128.52,292.34,68114.5
2425,2.65,1.86,1.73,75.89,127.65,267.50,72486.0
2426,2.89,1.70,1.43,76.36,127.84,268.86,71787.8
2427,2.64,1.82,1.74,75.43,128.05,252.35,64908.3
2428,2.79,2.08,1.61,75.81,127.49,292.15,64964.0
2429,2.80,1.75,1.29,76.48,127.37,263.52,65424.0
2430,2.83,2.15,1.63,75.75,128.39,272.83,75679.6
2431,2.77,1.77,1.49,76.56,128.11,282.78,67995.0
2432,2.59,1.91,1.42,75.61,128.45,241.70,67450.3
2433,2.59,1.91,1.71,76.11,128.37,248.18,66914.8
2434,2.82,2.10,1.55,76.41,127.51,252.07,76210.3
2435,2.69,1.79,1.59,76.22,127.36,261.45,72760.3
2436,2.62,1.90,1.36,76.17,128.14,259.49,74364.4
2437,2.82,1.95,1.31,75.29,128.05,241.01,71617.5
2438,2.51,1.95,1.71,75.28,128.15,257.54,70311.0
2439,2.70,1.83,1.50,75.89,127.84,275.74,76448.3
2440,2.72,2.13,1.40,75.26,127.74,277.26,72172.3
2441,2.65,1.78,1.57,75.39,127.35,274.90,65138.7
2442,2.67,2.20,1.68,76.60,128.29,260.26,64346.4
2443,2.84,1.79,1.69,75.20,128.18,264.72,71671.9
2444,2.67,1.99,1.74,76.56,127.76,270.51,66137.0
2445,2.51,2.14,1.77,75.75,128.29,290.09,72636.3
2446,2.83,2.05,1.64,76.23,127.90,266.97,63419.1
2447,2.61,1.82,1.63,76.59,127.21,282.41,64054.0
2448,2.61,2.07,1.44,76.42,127.74,282.30,66954.6
2449,2.58,1.86,1.45,76.16,127.57,285.63,64452.8
2450,2.77,2.26,1.48,75.83,128.35,261.01,76411.8
2451,2.85,1.85,1.77,75.61,128.42,254.33,75086.9
2452,2.63,2.07,1.23,76.11,127.30,280.78,65180.1
2453,2.74,2.00,1.71,75.70,128.00,267.03,75444.6
2454,2.81,2.11,1.32,76.15,127.33,243.39,71028.1
2455,2.58,1.80,1.50,75.45,127.22,286.83,71389.2
2456,2.58,2.13,1.50,75.20,127.35,275.30,72955.0
2457,2.68,2.14,1.76,76.50,127.97,265.88,64547.9
2458,2.85,2.19,1.54,76.39,127.30,279.65,72609.2
2459,2.57,1.97,1.68,75.30,127.49,283.40,70014.4
2460,2.56,2.16,1.36,75.52,127.92,266.63,71094.7
2461,2.84,2.08,1.55,76.32,127.22,249.78,75162.7
2462,2.89,1.93,1.58,75.57,127.21,275.86,68793.8
2463,2.62,1.82,1.60,76.12,127.20,272.51,69897.8
2464,2.80,2.07,1.67,75.56,128.59,251.53,69069.5
2465,2.63,1.89,1.74,75.97,127.22,243.45,75041.2
2466,2.63,2.05,1.62,76.14,128.45,250.12,67406.9
2467,2.80,2.07,1.61,76.19,127.41,280.12,65758.4
2468,2.51,2.28,1.50,75.88,128.60,283.18,71629.7
2469,2.65,2.25,1.41,75.33,128.15,291.36,63018.6
2470,2.88,2.25,1.38,75.55,127.26,288.64,68054.6
2471,2.85,1.98,1.79,76.43,128.17,266.38,75769.3
2472,2.84,1.77,1.49,75.87,128.21,287.65,67402.8
2473,2.74,2.11,1.42,75.46,127.55,267.67,74872.7
2474,2.90,2.16,1.23,76.53,128.28,281.07,75359.3
2475,2.54,2.27,1.68,76.07,128.10,275.14,76209.6
2476,2.65,1.90,1.79,75.50,128.12,274.82,72790.2
2477,2.65,1.90,1.52,75.70,128.41,249.92,69549.2
2478,2.72,1.98,1.78,76.49,127.94,257.40,73332.9
2479,2.84,2.04,1.58,76.48,128.03,269.60,74872.0
2480,2.84,2.03,1.37,76.55,128.40,243.39,76568.0
2481,2.62,2.02,1.58,75.58,127.50,256.85,67671.6
2482,2.80,2.26,1.21,76.54,127.55,275.88,70920.7
2483,2.86,1.85,1.53,76.30,127.92,278.61,72547.8
2484,2.75,1.86,1.75,76.49,128.46,291.06,72770.5
2485,2.52,2.14,1.60,76.16,127.82,246.05,63811.9
2486,2.61,1.80,1.64,75.35,127.31,252.52,67431.0
2487,2.57,1.87,1.65,75.69,127.50,259.85,76273.1
2488,2.81,2.02,1.61,76.29,128.08,291.00,76118.2
2489,2.89,2.16,1.67,76.13,127.91,242.48,71600.7
2490,2.63,1.79,1.66,76.27,127.76,290.15,68222.2
2491,2.50,1.99,1.36,75.60,127.28,242.15,76528.1
2492,2.68,2.00,1.23,76.07,128.36,272.41,67394.9
2493,2.85,1.93,1.53,75.90,128.07,259.89,63195.4
2494,2.85,2.09,1.80,76.54,128.18,249.53,64297.2
2495,2.62,2.19,1.32,76.25,128.43,291.04,65329.1
2496,2.87,1.79,1.50,75.56,127.91,260.62,75941.4
2497,2.69,2.25,1.33,76.59,127.45,251.13,73050.2
2498,2.57,1.91,1.41,75.84,127.52,291.22,67728.3
2499,2.64,1.82,1.46,76.36,128.24,280.20,67309.3
2500,2.79,2.28,1.78,75.68,127.79,293.19,65210.9
2501,2.70,1.83,1.57,76.24,127.60,283.58,66068.2
2502,2.84,1.95,1.57,75.33,127.49,241.93,71620.1
2503,2.71,2.07,1.39,75.21,128.08,262.01,64726.9
2504,2.52,1.93,1.66,76.27,127.87,278.37,65935.3
2505,2.63,2.12,1.73,76.22,127.72,277.57,71266.8
2506,2.72,1.88,1.28,75.47,127.46,264.40,76040.2
2507,2.77,1.91,1.61,75.40,128.52,263.24,67416.4
2508,2.70,2.00,1.45,76.47,128.19,277.15,68615.5
2509,2.62,1.93,1.53,75.42,127.21,258.10,70282.9
2510,2.79,1.91,1.61,76.02,128.52,271.23,71791.1
2511,2.86,2.12,1.78,76.39,127.49,284.50,67200.2
2512,2.58,1.84,1.30,76.26,127.35,286.77,68521.7
2513,2.59,1.79,1.41,75.43,127.43,278.41,74500.5
2514,2.67,2.03,1.69,75.98,128.39,290.83,64391.5
2515,2.67,2.10,1.59,75.60,128.33,244.42,65112.0
2516,2.55,1.90,1.66,75.55,128.43,288.38,71158.9
2517,2.68,1.75,1.75,75.95,127.47,285.16,66126.6
2518,2.70,2.23,1.73,75.29,127.32,261.11,76573.4
2519,2.83,2.11,1.52,75.50,127.71,249.49,65134.2
2520,2.89,1.75,1.65,76.07,128.37,251.51,75567.1
2521,2.59,2.19,1.33,75.33,128.26,269.24,63018.1
2522,2.75,2.24,1.65,75.28,127.39,253.68,74307.2
2523,2.79,1.95,1.28,75.49,127.83,264.52,74458.5
2524,2.52,2.03,1.51,75.81,128.16,254.58,68127.3
2525,2.72,2.22,1.28,75.98,128.51,286.86,68767.9
2526,2.59,1.86,1.55,76.22,127.85,275.94,66725.8
2527,2.70,1.75,1.29,75.75,128.26,242.43,64928.7
2528,2.51,1.95,1.68,76.28,127.37,275.88,64914.0
2529,2.70,2.10,1.24,75.48,127.79,282.25,65752.0
2530,2.51,1.84,1.40,76.02,127.77,257.04,73200.4
2531,2.62,1.90,1.45,75.61,128.28,253.89,72681.3
2532,2.56,2.23,1.20,76.34,128.33,254.38,76197.7
2533,2.75,2.18,1.45,75.71,128.08,269.61,68868.9
2534,2.68,2.09,1.23,76.15,128.14,284.09,68921.5
2535,2.58,2.13,1.47,76.19,127.73,248.13,65541.8
2536,2.66,2.03,1.70,75.69,128.15,290.91,71782.0
2537,2.53,1.82,1.58,76.27,128.07,257.61,68831.5
2538,2.77,1.85,1.60,75.49,127.39,285.11,73167.5
2539,2.67,1.92,1.39,75.37,128.57,255.96,71188.5
2540,2.58,2.12,1.33,76.07,128.25,278.43,72306.7
2541,2.75,2.02,1.72,76.11,127.51,293.66,67166.6
2542,2.74,1.85,1.47,75.82,128.22,280.86,73873.7
2543,2.85,1.86,1.27,75.96,127.66,242.19,71061.2
2544,2.58,1.71,1.29,75.48,127.37,247.48,75452.8
2545,2.57,2.28,1.71,75.38,127.65,275.01,65565.9
2546,2.83,2.30,1.34,75.50,128.13,263.34,74605.3
2547,2.80,2.03,1.27,75.53,128.19,273.64,75101.4
2548,2.80,2.06,1.42,76.59,128.36,286.44,74262.1
2549,2.88,1.80,1.28,75.27,128.28,283.25,69969.2
2550,2.53,2.01,1.79,75.24,128.14,289.48,74466.4
2551,2.87,1.83,1.53,75.67,128.15,282.67,73254.0
2552,2.88,2.09,1.33,75.54,127.59,264.44,64461.1
2553,2.79,1.93,1.77,76.44,127.48,281.00,69667.8
2554,2.73,2.26,1.72,75.96,127.91,260.43,69943.9
2555,2.83,1.97,1.49,75.32,128.01,291.40,68302.5
2556,2.61,1.82,1.34,76.11,127.80,243.74,64476.4
2557,2.59,1.84,1.78,75.79,127.26,252.60,65284.8
2558,2.60,1.85,1.38,76.41,127.26,254.36,63337.8
2559,2.57,2.10,1.80,75.45,128.29,273.35,68758.5
2560,2.57,2.18,1.67,76.41,127.78,275.81,67768.6
2561,2.74,2.22,1.63,76.38,128.00,246.52,63515.7
2562,2.88,2.26,1.50,75.21,128.15,277.54,73763.5
2563,2.74,1.76,1.70,75.66,127.52,261.32,69177.1
2564,2.83,1.73,1.59,75.81,127.74,282.38,66406.8
2565,2.71,2.17,1.27,76.51,127.64,291.92,67094.2
2566,2.77,2.16,1.57,76.25,128.29,281.94,64625.6
2567,2.59,1.96,1.78,75.21,127.96,263.49,68141.1
2568,2.60,1.89,1.79,76.58,128.27,274.87,75205.1
2569,2.78,1.84,1.32,76.53,127.52,281.82,63228.8
2570,2.66,1.93,1.69,75.29,128.43,241.62,71915.8
2571,2.82,2.07,1.48,76.20,128.34,267.53,69049.1
2572,2.66,1.94,1.22,75.62,128.36,281.77,70188.0
2573,2.89,1.75,1.63,75.84,128.09,292.55,67470.9
2574,2.83,1.91,1.57,75.31,127.20,264.77,74761.9
2575,2.78,2.27,1.32,75.86,127.51,288.68,70844.7
2576,2.61,2.20,1.62,75.37,128.48,261.36,65797.4
2577,2.78,1.99,1.55,75.33,127.68,241.55,72162.8
2578,2.75,2.16,1.22,76.38,127.39,268.18,75176.2
2579,2.80,2.19,1.58,75.42,127.97,241.23,67137.9
2580,2.55,2.05,1.75,75.98,127.59,241.75,66230.1
2581,2.62,1.93,1.39,75.91,127.28,240.81,74004.6
2582,2.68,1.79,1.79,76.44,127.62,276.05,68307.5
2583,2.74,2.07,1.44,76.46,127.35,243.94,65022.8
2584,2.59,2.08,1.74,75.34,128.37,245.62,68265.9
2585,2.59,2.19,1.52,75.84,127.24,269.96,74211.4
2586,2.60,2.02,1.41,75.45,127.95,285.36,73563.0
2587,2.55,2.17,1.39,75.83,128.01,261.14,63805.1
2588,2.72,2.04,1.48,76.53,127.56,269.69,66166.7
2589,2.88,1.92,1.65,75.88,128.60,293.59,76976.6
2590,2.78,2.13,1.70,75.65,127.83,260.02,65695.3
2591,2.88,1.72,1.39,75.86,128.57,248.69,67522.0
2592,2.81,1.83,1.59,76.09,128.52,277.00,74377.3
2593,2.74,1.80,1.80,76.36,128.23,266.06,65589.5
2594,2.56,1.78,1.63,76.41,127.75,261.01,73093.7
2595,2.83,2.20,1.37,76.04,127.54,251.28,71494.4
2596,2.74,1.70,1.44,75.80,127.96,284.70,65943.5
2597,2.70,2.10,1.53,75.56,127.73,285.13,71703.7
2598,2.78,2.15,1.58,75.92,128.28,282.62,67403.4
2599,2.58,1.91,1.67,76.17,128.08,293.20,75641.5
2600,2.77,1.88,1.55,76.57,127.95,258.13,66456.7
2601,2.59,1.96,1.57,75.24,127.82,266.85,75201.1
2602,2.76,1.78,1.38,76.23,127.52,283.02,73132.9
2603,2.85,2.24,1.63,75.22,127.88,277.77,73498.8
2604,2.83,1.94,1.47,75.76,127.72,293.35,68939.2
2605,2.70,2.08,1.59,75.90,127.36,244.68,76012.4
2606,2.79,2.10,1.46,76.26,128.19,291.20,72013.8
2607,2.79,1.91,1.61,76.08,127.54,287.62,73358.5
2608,2.55,1.90,1.41,75.21,127.87,273.23,70630.8
2609,2.64,2.25,1.39,75.49,128.13,284.68,66472.7
2610,2.63,1.99,1.24,75.49,127.98,242.52,74605.1
2611,2.51,2.27,1.50,75.69,128.56,247.30,69815.5
2612,2.84,1.94,1.49,75.85,127.53,285.93,66085.1
2613,2.52,1.89,1.56,75.27,127.42,262.48,70786.0
2614,2.67,2.15,1.23,75.51,128.24,287.89,75049.2
2615,2.81,1.71,1.56,76.29,127.42,250.23,75326.7
2616,2.84,1.83,1.25,76.35,127.73,244.09,76869.7
2617,2.80,2.09,1.45,76.28,127.67,285.94,67164.0
2618,2.82,2.06,1.23,75.84,128.13,278.32,65033.8
2619,2.70,2.16,1.73,76.54,128.58,285.53,75905.0
2620,2.68,1.71,1.60,75.59,127.31,248.64,66408.6
2621,2.83,1.96,1.61,76.22,128.11,278.68,63638.7
2622,2.79,2.10,1.71,76.29,127.34,262.60,66207.9
2623,2.64,2.18,1.72,75.82,127.62,285.12,72107.3
2624,2.74,1.73,1.42,75.87,127.40,267.25,63357.5
2625,2.89,1.99,1.64,76.34,127.25,277.25,69384.9
2626,2.52,2.11,1.24,76.07,128.36,245.13,75503.4
2627,2.82,2.26,1.30,75.79,127.92,250.05,67429.2
2628,2.64,2.00,1.26,76.25,128.09,249.31,74687.8
2629,2.89,1.79,1.28,75.45,127.41,253.01,72401.2
2630,2.75,2.16,1.34,76.21,128.24,245.71,76310.1
2631,2.80,2.04,1.54,75.79,127.68,271.10,63856.7
2632,2.61,2.00,1.25,76.43,128.40,249.01,70812.6
2633,2.55,1.84,1.59,75.32,127.77,257.72,74162.5
2634,2.58,2.02,1.47,75.93,128.21,255.83,72886.0
2635,2.77,1.94,1.35,75.37,127.75,249.03,68944.7
2636,2.82,2.11,1.29,76.48,127.78,281.70,74118.0
2637,2.57,2.00,1.60,76.53,128.26,274.54,74290.2
2638,2.79,2.16,1.78,75.54,128.40,289.85,69142.7
2639,2.58,1.77,1.43,75.43,127.32,258.70,66319.6
2640,2.59,2.28,1.73,75.56,128.42,272.27,67835.0
2641,2.76,1.98,1.54,76.23,127.42,268.27,69672.0
2642,2.71,2.15,1.43,75.81,127.50,267.95,69270.1
2643,2.86,2.18,1.53,76.43,127.87,286.64,73537.7
2644,2.81,1.90,1.74,75.64,128.09,282.41,73490.2
2645,2.73,2.03,1.48,75.49,128.51,270.96,71812.2
2646,2.66,1.74,1.49,75.83,128.18,284.78,70814.9
2647,2.88,2.02,1.25,75.55,127.74,292.04,68353.8
2648,2.74,1.92,1.58,75.83,128.31,280.74,70828.9
2649,2.54,2.20,1.80,76.47,128.40,249.27,71092.9
2650,2.59,2.21,1.28,76.28,127.82,270.42,70115.3
2651,2.75,1.77,1.51,75.86,127.62,279.92,67639.6
2652,2.59,1.90,1.22,75.67,128.07,289.94,68411.3
2653,2.64,1.82,1.63,75.45,127.79,241.54,63890.9
2654,2.88,1.85,1.32,76.40,127.56,241.22,71948.9
2655,2.70,1.96,1.63,75.42,127.93,267.47,69412.1
2656,2.88,1.98,1.67,75.31,127.36,258.13,70047.5
2657,2.87,2.22,1.75,76.53,128.18,293.14,65205.2
2658,2.73,1.77,1.67,76.58,128.13,263.58,73292.1
2659,2.82,2.08,1.54,76.09,127.72,252.43,63984.1
2660,2.88,1.98,1.59,76.11,128.03,284.56,72307.3
2661,2.89,1.77,1.40,75.46,128.11,246.28,67529.0
2662,2.65,2.13,1.74,76.14,127.30,285.79,71575.5
2663,2.68,2.21,1.30,76.20,128.41,289.46,68097.7
2664,2.76,2.05,1.64,76.49,127.42,280.27,64915.1
2665,2.65,1.83,1.36,75.41,127.76,285.78,66752.1
2666,2.56,1.81,1.55,76.51,128.55,276.69,74436.6
2667,2.75,1.77,1.39,76.24,128.55,286.22,76010.3
2668,2.80,2.18,1.56,75.43,127.69,258.90,72085.6
2669,2.58,1.97,1.51,76.20,127.65,251.86,71230.1
2670,2.81,1.81,1.44,75.82,127.52,279.30,75643.8
2671,2.80,1.97,1.43,76.50,127.53,279.95,76972.0
2672,2.80,2.01,1.79,75.47,127.65,288.58,65106.6
2673,2.83,2.11,1.56,75.70,128.41,264.29,65785.0
2674,2.78,2.15,1.78,75.93,127.60,293.67,65603.5
2675,2.50,1.99,1.74,75.65,127.24,275.07,67963.7
2676,2.78,2.27,1.39,75.65,127.56,271.28,64205.1
2677,2.52,2.16,1.25,75.37,127.43,287.33,74813.1
2678,2.56,1.77,1.27,76.16,128.00,251.87,63184.8
2679,2.56,2.16,1.58,76.16,127.92,262.34,70328.6
2680,2.70,2.23,1.33,76.09,128.27,249.46,71020.7
2681,2.61,1.76,1.37,76.50,127.92,291.93,70843.1
2682,2.85,2.18,1.35,76.05,127.99,242.55,67974.7
2683,2.71,2.14,1.58,75.35,128.27,257.35,76765.9
2684,2.78,2.05,1.71,76.00,127.75,247.18,69108.4
2685,2.86,1.87,1.76,76.13,128.24,291.82,65927.5
2686,2.52,1.85,1.43,75.82,127.77,249.78,71062.7
2687,2.61,2.11,1.36,75.29,128.04,259.41,74297.8
2688,2.63,2.09,1.23,75.52,128.32,247.02,76100.7
2689,2.68,1.89,1.56,76.39,128.32,259.46,69932.6
2690,2.71,2.10,1.33,75.78,127.87,256.08,66503.6
2691,2.85,1.86,1.64,75.80,128.15,285.23,75443.0
2692,2.71,1.87,1.63,76.09,128.51,293.35,63261.3
2693,2.56,1.81,1.39,75.94,127.41,292.31,69982.2
2694,2.57,2.17,1.64,75.42,128.43,245.51,71956.2
2695,2.54,2.00,1.35,75.83,127.47,264.23,64103.3
2696,2.76,1.92,1.72,75.62,127.78,266.98,72013.1
2697,2.86,2.19,1.37,76.01,127.90,272.81,74178.7
2698,2.58,2.06,1.58,75.49,128.02,274.51,74231.4
2699,2.58,1.96,1.36,76.32,128.13,285.35,66429.0
2700,2.70,1.92,1.35,76.49,127.86,244.57,64825.7
2701,2.85,1.98,1.29,75.35,127.24,281.31,68643.7
2702,2.83,1.76,1.46,75.24,127.25,273.61,67794.0
2703,2.84,1.79,1.73,76.01,127.65,282.77,65209.6
2704,2.87,2.26,1.70,75.42,127.58,269.52,69764.2
2705,2.75,1.76,1.76,76.49,127.67,271.57,74839.6
2706,2.85,2.21,1.69,76.48,128.45,240.69,76501.9
2707,2.65,1.83,1.48,75.55,128.13,254.09,66354.8
2708,2.85,2.10,1.76,76.25,128.53,293.66,69248.4
2709,2.62,1.98,1.33,75.75,127.58,244.65,72898.4
2710,2.87,1.77,1.45,76.53,128.19,257.67,69257.3
2711,2.54,2.09,1.71,76.42,128.21,291.68,69512.6
2712,2.53,2.17,1.50,75.55,127.89,256.76,71735.9
2713,2.74,1.98,1.55,75.61,127.64,268.79,71771.2
2714,2.83,1.86,1.33,76.17,128.07,282.74,63871.5
2715,2.58,2.11,1.31,76.55,127.84,258.25,65125.7
2716,2.83,1.93,1.67,76.39,127.80,289.51,72116.3
2717,2.71,1.89,1.31,76.38,127.24,241.42,72465.1
2718,2.74,1.98,1.52,75.39,127.65,271.81,72581.6
2719,2.77,1.76,1.76,76.04,128.38,240.85,75126.5
2720,2.73,2.19,1.37,75.60,128.33,252.26,72945.5
2721,2.62,2.25,1.45,75.44,127.72,263.06,73857.1
2722,2.78,2.26,1.59,75.89,127.91,265.99,69261.2
2723,2.78,1.87,1.29,75.98,127.44,256.54,68633.8
2724,2.60,2.22,1.69,75.35,127.57,266.36,70364.5
2725,2.71,2.06,1.54,75.83,127.35,243.52,66440.4
2726,2.67,2.24,1.38,76.09,128.34,271.76,76785.8
2727,2.83,1.98,1.49,76.00,127.50,293.45,63344.6
2728,2.63,1.86,1.37,75.67,127.93,280.80,67581.4
2729,2.87,2.25,1.31,75.78,127.37,245.28,68979.3
2730,2.57,2.05,1.24,76.19,127.83,263.85,65817.3
2731,2.57,2.24,1.36,76.56,127.84,285.93,72056.3
2732,2.77,2.23,1.77,75.43,127.73,279.02,65907.0
2733,2.57,2.15,1.55,76.24,127.50,241.11,73990.6
2734,2.65,1.98,1.29,76.04,127.80,243.13,69670.6
2735,2.70,2.20,1.53,75.33,128.57,282.00,65606.5
2736,2.59,1.98,1.26,76.00,128.41,246.69,64270.6
2737,2.73,1.74,1.69,75.51,128.53,290.74,67139.9
2738,2.62,1.79,1.26,75.32,127.73,267.11,71280.1
2739,2.80,1.94,1.47,75.96,127.78,253.88,70491.7
2740,2.70,2.23,1.77,76.12,127.73,250.69,70480.4
2741,2.78,2.06,1.64,76.23,127.42,250.84,65645.1
2742,2.57,1.92,1.75,76.36,128.42,254.38,74915.8
2743,2.67,1.97,1.75,75.91,128.24,272.93,63831.7
2744,2.52,1.71,1.62,76.07,128.20,247.38,76413.2
2745,2.50,2.18,1.78,75.79,127.95,280.96,67207.7
2746,2.53,2.25,1.69,75.86,127.67,277.52,68638.2
2747,2.83,1.85,1.29,75.95,127.85,268.51,67019.6
2748,2.58,1.80,1.66,76.54,127.86,242.33,71220.8
2749,2.76,2.27,1.55,76.01,127.68,259.03,66117.1
